#奶矛件玄抩“庣及?
#奶矛件玄陬邰“栋咥谛白央件皮伙弘﹋白央件皮伙弘﹛◥﹛失伉亘□玄﹌
#庣及?毛栋咥允月???﹝伐□皿今六月﹜白仿弘本永玄允月﹜及窗チ互丐月﹝

############## 民尼永弁戊奶件儅匀化月 ##############
block Item 18907 >= 1 || Item 18908 >= 1 || Item 18909 >= 1 || Item 18910 >= 1 || Item 18911 >= 1 || Item 18912 >= 1 || Item 18913 >= 1 || Item 18914 >= 1 || Item 18915 >= 1 || Item 18916 >= 1 || Item 18917 >= 1
#\n\n﹛允心引六氏﹜公及戊奶件反儅切慇心嗟鞅卅氏匹允方﹝
	EndWindow 15729,OK

############## 奶矛件玄民□术儅匀化月 ##############
block Item 18441 >= 1
#\n\n﹛允心引六氏﹜公及民□术反儅切慇心嗟鞅卅氏匹允方﹝
	EndWindow 14659,OK

############## 奶矛件玄伐奶件儅匀化月 ##############
block Item 18440 >= 1
#\n\n﹛允心引六氏﹜公及伐奶件反儅切慇心嗟鞅卅氏匹允方﹝
	EndWindow 14660,OK

############## 庣及?白仿弘﹋96﹌互峏匀化中卅中 ##############
block Nowevent 96 == 0
#\n\n﹛丐卅凶反仇及必□玄毛厍迕允月凤伞毛坢凶仄化中卅中方丹匹允友﹝
	Endwindow 11135

############## 弘伙□皿毛赚氏匹中月 ##############
block Group != 1
#\n\n﹛必□玄反云域谛迋内勾匹仄井仍厍迕匹五引六氏﹝
	Endwindow 11136

############## 庣及?白仿弘互峏匀化中化﹜弘伙□皿毛赚氏匹中卅中 ##############
block
#\n\n﹛仇仇反失伉亘□玄尺及必□玄匹允﹝仍厍迕卞卅曰引允井〝\n\n﹛仍厍迕卞反﹛250Gold﹛井井曰引允﹝
	Window 11313,YES,NO

############## 爵⑷烟匹伊矛伙互箫曰卅中桦宁 ##############
	Window_YES Group == 1 && Job >=11 && Job <= 167 && Level < 12
#\n\n﹛失伉亘□玄及翘卞丐卅凶及伊矛伙匹垫井木月及反渣莴匹允﹝引凶云旋仄仁分今中﹝
	EndWindow 11354

############## 衔樊枣赁屻匹伊矛伙互箫曰卅中桦宁 ##############
	Window_YES Group == 1 && Job >=431 && Job <= 447 && Level < 12
