スターベリルの欠片(武器)	0	0	-20	-20	0	10	10	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり欠けたスターベリル(武器)	1	0	-24	-24	0	12	12	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
欠けたスターベリル(武器)	2	0	-28	-28	0	14	14	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
やや欠けたスターベリル(武器)	3	0	-32	-32	0	16	16	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
スターベリル(武器)	4	0	-36	-36	0	18	18	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
やや良质なスターベリル(武器)	5	0	-40	-40	0	20	20	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
良质なスターベリル(武器)	6	0	-44	-44	0	22	22	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり良质なスターベリル(武器)	7	0	-48	-48	0	24	24	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完全に近いスターベリル(武器)	8	0	-52	-52	0	26	26	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完全结晶体のスターベリル(武器)	9	0	-56	-56	0	28	28	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
ガーネットの欠片(武器)	10	0	9	9	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり欠けたガーネット(武器)	11	0	13	13	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
欠けたガーネット(武器)	12	0	17	17	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
やや欠けたガーネット(武器)	13	0	21	21	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
ガーネット(武器)	14	0	25	25	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
やや良质なガーネット(武器)	15	0	29	29	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
良质なガーネット(武器)	16	0	33	33	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり良质なガーネット(武器)	17	0	37	37	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完全に近いガーネット(武器)	18	0	41	41	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完全结晶体のガーネット(武器)	19	0	45	45	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
ソグディアナイトの欠片(武器)	20	0			0	-2	-2	0			0			0			0			0			0			1	1	1	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり欠けたソグディアナイト(武器)	21	0			0	-4	-4	0			0			0			0			0			0			1	2	2	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
欠けたソグディアナイト(武器)	22	0			0	-6	-6	0			0			0			0			0			0			1	3	3	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
やや欠けたソグディアナイト(武器)	23	0			0	-8	-8	0			0			0			0			0			0			1	4	4	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
ソグディアナイト(武器)	24	0			0	-10	-10	0			0			0			0			0			0			1	5	5	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
やや良质なソグディアナイト(武器)	25	0			0	-12	-12	0			0			0			0			0			0			1	6	6	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
良质なソグディアナイト(武器)	26	0			0	-14	-14	0			0			0			0			0			0			1	7	7	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり良质なソグディアナイト(武器)	27	0			0	-16	-16	0			0			0			0			0			0			1	8	8	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完全に近いソグディアナイト(武器)	28	0			0	-18	-18	0			0			0			0			0			0			1	9	9	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完全结晶体のソグディアナイト(武器)	29	0			0	-20	-20	0			0			0			0			0			0			1	10	10	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
トパーズの欠片(武器)	30	0			0	-2	-2	0			0			0			0			1	1	1	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
かなり欠けたトパーズ(武器)	31	0			0	-4	-4	0			0			0			0			1	2	2	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
