1	1	25	9	11	13	11	0	0	0	0	6002	6007	6010	6011	6009	5	3	5	5	5	6	6	6	6	6
2	25	3	9			0	3	0			6017	6013	6012			4	4	4			5	5	5		
3	25	3	9			0	3	0			6018	6015	6016			4	4	4			5	5	5		
4	25	3	9			0	3	0			6006	6019	6005			3	3	3							
5	25	5	9			2	3	0			6026	6025	6028			4	4	4			5	5	5		
6	25	5	9	8		2	3	0	3		6026	6022	6024	6031		4	4	4	4		5	5	5	5	
7	25	7	9	11	5	0	3	0	3	3	6027	6024	6030	6023	6025	4	4	4	4	4	6	6	6	6	6
8	5	13	9	11		0	1	6	2		6038	6039	6034	6000											
9	5	13	9	11		0	1	6	2		6038	6039	6034	6000											
10	5	7	9	13	25	3	34	0	0	0	6044	6043	6045	6046	6049	0	0	0	0	0	6	6	6	6	6
11	5	9	11	25		2	0	1	0		6047	6048	6005	6050											
12	5	7	11	13	25	3	0	2	2	0	6055	6058	6056	6057	6059	3	3	3	3	4	5	5	5	5	5
13	5	7	25			3	2	0			6067	6061	6068												
14	5	7	25			3	2	0			6052	6062	6063												
15	5	7	25			3	2	0			6066	6064	6065												
16	11	13	15	7	25	0	1	1	3	0	6070	6071	6074	6073	6072	3	3	3	3	3	6	6	6	6	6
17	5	23	25			0	0	0			6077	6076	6078			1	1	1			0	0	0		
18	5	7	13	24	25	0	0	1	0	0	6083	6091	6084	6092	6085	1	1	1	1	1	0	0	0	0	0
19	5	8	15	13	25	0	0	0	0	0	6089	6088	6093	6087	6086	5	5	5	5	5	6	6	6	6	6
20	5	8	13	15	25	0	1	2	1	0	6094	6095	6096	6046	6049	0	0	0	0	0	6	6	6	6	6
21	5	26	11	13	25	0	0	2	1	0	6098	6099	6096	6100	6101	0	0	0	0	0	6	6	6	6	6
22	5	7	9		25	3	0	3		0	6105	6105	6105		6104	0	0	0		0	3	3	3		3
23	23	5	13	1	25	5	1	2	3	0	69062	69063	69064	69065	69066	0	0	0	0	0	4	4	4	4	4
24	26	3	13	1	25	0	4	2	3	0	69067	69068	69069	69070	69071	0	0	0	0	0	1	1	1	1	1
25	26	5	7	13	25	0	0	3	3	0	69072	69073	69074	69075	69076	0	0	0	0	0	0	0	0	0	0
26	26	5	7	11	25	0	0	2	0	0	69077	69078	69079	69085	69086	0	0	0	0	0	0	0	0	0	0
27	26	7	15	17	25	0	0	0	0	0	6505	6506	6507	6508	6509	0	0	0	0	0	0	0	0	0	0
28	26	6	8	14	25	0	0	0	0	0	6511	6512	6512	6513	6516	0	0	0	0	0	0	0	0	0	0
29	10					3					6514					0					0				
30	8					3					6515					0					0				
31	5	7	9	11	25	3	0	0	0	0	20078	20079	20079	20079	20080	0	0	0	0	0	0	0	0	0	0
32	5	7	9			0	0	3			20077	20081	20078		20046	0	2	0			0	0	0		
33	5	9	10		25	3	2	2		0	20078	20075	20070		20082	0	0	0		0	0	0	0		0
34	26				25	0				0	6517				6518	0				0	4				4
35	26				25	0				0	6517				6518	0				0	4				4
36	26				25	0				0	6517				6518	0				0	4				4
37	26				25	0				0	6517				6518	0				0	4				4
38	26				25	0				0	6517				6518	0				0	4				4
39	26	5	13		25	0	1	0		0	6519	6521	6523		6524	0	0	0		0	4	4	4		4
40	26	5			25	0	1			0	6520	6522			6525	0	0			0	4	4			4
41	26				5	0				0	21011				21013	0				0	3				3
42	7					1					21012					0					1				
43	26	7	17		25	0	2	0		0	6526	6528	6529		6527	0	0	0		0	5	5	5		5
44	26	11	7	5	25	0	1	0	0	0	6530	6532	6533	6534	6531	0	0	0	0	0	1	1	1	1	1
45	26	6	15	7	25	0	1	1	1	0	6535	6537	6538	6539	6536	0	0	0	0	0	6	6	6	6	6
46	26	6	15	9	25	0	1	3	1	0	6109	6110	6111	6112	6113	0	0	0	0	0	6	6	6	6	6
47	26	5	22		25	0	0	3		0	68000	68001	68002		68003	0	0	0		0	4	4	4		4
48	26	5	7	15	25	0	2	37	0	0	20374	20375	20376	20377	20378	1	1	0	1	0	8	8	8	8	8
49	26	11	9	17	25	0	0	0	0	0	20383	20384	20385	20386	20387	0	0	0	0	0	1	1	1	1	1
50	26	5	9	13	25	0	1	2	0	0	20393	20394	20396	20395	20397	0	0	0	2	0	0	0	0	0	0
51	26	15	17		25	0	0	0		3	20409	20408	20408		20410	0	0	0		1	1	1	1		1
52	26	5	14	10	25	0	0	0	0	0	20417	20418	20419	20420	20421	2	0	0	0	0	0	0	0	0	0
53	26	5	7	15	25	0	1	1	1	0	20427	20428	20429	20430	20431	0	0	0	0	2	5	5	5	5	5
54	26	17	5	7	25	0	0	0	0	0	20441	20442	20443	20444	20445	2	2	2	2	2	6	6	6	6	6
55	26	5	9	14	25	0	0	0	0	0	20452	20453	20454	20455	20456	2	2	2	2	0	6	6	6	6	6
56	26	7	8	5	25	0	0	0	2	0	20462	20463	20465	20464	20466	2	0	0	2	0	6	6	6	6	6
57	26	5	10		25	0	0	0		0	20476	20477	20478		20479	2	2	2		0	5	5	5		5
58	26	7	12		25	0	1	1		0	20516	20517	6016		20518	2	2	2		2	5	5	5		5
