#カテゴリー、レベル、使用时の减少时间（秒位）、ＦＰ消费の减少レート、??への系?
#カテゴリーとレベル以外にはそれぞれ??幅の指定が付する
1	1	1800	0	100	0	110	0
1	2	2400	0	100	0	112	0
1	3	3000	0	100	0	114	0
1	4	3600	0	100	0	116	0
1	5	4200	0	100	0	118	0
1	6	4800	0	100	0	120	0
2	1	120	0	100	0	110	0
2	2	180	0	100	0	115	0
2	3	240	0	100	0	120	0
2	4	300	0	100	0	125	0
2	5	360	0	100	0	130	0
2	6	420	0	100	0	135	0
3	1	60	0	100	0	110	0
3	2	60	0	100	0	115	0
3	3	60	0	100	0	120	0
3	4	60	0	100	0	125	0
3	5	60	0	100	0	130	0
3	6	60	0	100	0	135	0
4	1	60	0	100	0	110	0
4	2	60	0	100	0	115	0
4	3	60	0	100	0	120	0
4	4	60	0	100	0	125	0
4	5	60	0	100	0	130	0
4	6	60	0	100	0	135	0
