单手剑1	1	70	0	0	0	0	100	100	100	100	100	0	0	20032	0
单手剑2	2	60	10	10	0	0	100	100	100	100	100	0	0	20092	0
双手剑1	3	100	-10	-10	0	0	100	100	100	100	100	0	0	20081	1
双手剑2	4	90	0	0	0	0	100	100	100	100	100	0	0	20026	1
头盔1	5	0	20	-20	0	0	100	100	100	100	100	0	8	21419	0
头盔2	6	0	10	-10	0	0	100	100	100	100	100	0	8	21496	0
铠1	7	0	45	-45	0	0	100	100	100	100	100	0	10	21634	0
铠2	8	0	30	-35	0	0	100	100	100	100	100	0	10	21608	0
乐器1	9	0	0	-10	10	0	100	100	100	100	100	0	15	26068	0
乐器2	10	0	0	10	-10	0	100	100	100	100	100	0	15	26079	0
